                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2213,                 2.9314,                 5.5747,                 1.1347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.81298,                 1.5347,                 4.5695,                0.85882,              0.0032821,              0.0032821,              0.0032821
                      2,                 1.2364,                 2.4042,                  4.759,                 1.0616,                0.83434,                0.08009,                0.19066,                0.15301,                0.83434,                0.08009,                0.19141,                0.14638,                0.95586,                 1.3861,                 3.1803,                0.92128,              0.0066132,              0.0066132,              0.0066132
                      3,                 1.3241,                 2.3759,                  4.388,                 1.1116,                 0.4642,                  0.318,                0.33107,                0.23116,                 0.4642,                  0.318,                0.33107,                0.24423,                 1.0963,                 1.2097,                  2.699,                0.99488,              0.0099422,              0.0099422,              0.0099422
                      4,                 1.3692,                 2.3212,                 4.1755,                 1.1466,                0.36877,                0.51117,                0.46682,                0.33934,                0.37288,                0.52192,                0.47897,                0.34659,                 1.2352,                 1.3293,                 3.8601,                 1.0409,              0.0099901,              0.0099901,              0.0099901
                      5,                  1.389,                 2.2806,                 3.8709,                 1.1875,                0.45686,                 0.6532,                0.61427,                 0.4367,                0.45686,                 0.6532,                0.61655,                0.45226,                 1.1659,                 1.1715,                 2.7058,                 1.0395,              0.0099868,              0.0099868,              0.0099868
                      6,                  1.332,                 2.1288,                 3.5309,                 1.1579,                0.72659,                0.66681,                0.80331,                0.60302,                0.71796,                0.66106,                0.77278,                0.56729,                0.99435,                 1.0493,                 1.6704,                0.97332,              0.0099835,              0.0099835,              0.0099835
                      7,                 1.3323,                 2.1777,                 3.1697,                 1.1542,                0.69892,                0.76631,                0.81805,                0.64031,                0.69892,                0.76631,                0.81218,                0.59936,                0.95833,                 1.2416,                 1.4057,                0.95296,              0.0099802,              0.0099802,              0.0099802
                      8,                 1.3207,                 2.1221,                 2.8998,                 1.1671,                0.77136,                0.74413,                0.85449,                0.66888,                0.77136,                0.74413,                0.85432,                0.65261,                0.93127,                0.90213,                 1.3513,                0.94007,              0.0099769,              0.0099769,              0.0099769
                      9,                 1.2837,                 2.0048,                 2.6993,                 1.1477,                0.66386,                0.83454,                0.86601,                0.67553,                0.65615,                0.81841,                 0.8529,                  0.639,                0.92912,                0.95221,                 1.2433,                0.94266,              0.0099736,              0.0099736,              0.0099736
                     10,                 1.2683,                 2.0622,                 2.4897,                  1.141,                0.74278,                0.85237,                0.89882,                0.68677,                0.74278,                0.85237,                0.89919,                0.68515,                0.94726,                0.88516,                 1.0475,                0.95358,              0.0099703,              0.0099703,              0.0099703
                     11,                 1.2222,                 1.9281,                 2.2832,                 1.1055,                0.74187,                0.95826,                0.91617,                0.73448,                0.73342,                0.94786,                0.90822,                0.70712,                0.87212,                0.85671,                 1.1513,                0.92983,               0.009967,               0.009967,               0.009967
                     12,                 1.2076,                 1.9583,                 2.1283,                 1.1048,                0.87391,                0.89166,                0.92271,                0.72646,                0.87391,                0.89166,                0.92217,                0.67445,                0.84082,                0.85588,                 1.0187,                0.92336,              0.0099637,              0.0099637,              0.0099637
                     13,                 1.1989,                 1.9221,                 2.0889,                 1.0868,                0.86216,                0.85945,                0.90578,                0.71221,                0.84839,                0.84567,                 0.8882,                0.64829,                0.88759,                 1.3086,                0.93154,                0.93257,              0.0099604,              0.0099604,              0.0099604
                     14,                 1.2035,                 1.9649,                 1.9815,                  1.125,                0.83116,                0.91279,                0.93056,                0.74839,                0.81577,                 0.8974,                0.92363,                0.71768,                0.80847,                0.81795,                0.88504,                0.92213,              0.0099571,              0.0099571,              0.0099571
                     15,                 1.1822,                 1.8838,                 1.8756,                 1.0963,                0.86118,                0.87255,                0.92682,                0.72708,                0.86118,                0.87255,                0.92682,                  0.698,                0.85946,                 1.0711,                0.95207,                0.92653,              0.0099538,              0.0099538,              0.0099538
                     16,                 1.1445,                 1.7811,                 1.7567,                  1.089,                0.78229,                0.93922,                0.93686,                0.71002,                0.78229,                0.93922,                0.93506,                 0.6476,                0.96994,                 1.5876,                 1.0023,                0.95353,              0.0099505,              0.0099505,              0.0099505
                     17,                 1.1284,                 1.7634,                 1.7046,                 1.0758,                0.86708,                0.91514,                0.93743,                0.75193,                0.86232,                0.89972,                 0.9231,                0.71505,                0.78872,                0.77088,                0.81128,                0.90604,              0.0099472,              0.0099472,              0.0099472
                     18,                 1.1145,                 1.7813,                  1.593,                 1.0688,                0.83968,                0.94141,                0.94403,                0.76844,                0.83968,                0.94141,                0.94403,                0.73608,                 0.7463,                 0.8557,                0.82498,                0.90364,              0.0099439,              0.0099439,              0.0099439
                     19,                 1.0966,                 1.7699,                 1.5681,                 1.0624,                0.86005,                0.90324,                0.94085,                0.77591,                0.86005,                0.90324,                0.93804,                0.71796,                0.73087,                0.69851,                0.75508,                0.89648,              0.0099406,              0.0099406,              0.0099406
                     20,                 1.1045,                 1.7871,                 1.5352,                 1.0702,                0.88171,                0.92987,                0.94516,                0.79058,                0.88171,                0.92987,                 0.9426,                0.69845,                0.69575,                 0.7836,                0.75589,                0.88435,              0.0099373,              0.0099373,              0.0099373
                     21,                  1.089,                  1.729,                 1.4922,                  1.055,                0.87154,                0.93878,                0.94749,                0.71739,                0.87154,                0.93878,                0.94749,                0.69242,                0.87518,                0.97911,                0.83758,                0.93338,               0.009934,               0.009934,               0.009934
                     22,                 1.0878,                 1.7463,                 1.4354,                 1.0662,                0.84812,                0.92115,                0.94952,                 0.7795,                0.84812,                0.92115,                0.94515,                0.67929,                0.72032,                0.73953,                0.70293,                0.88586,              0.0099307,              0.0099307,              0.0099307
                     23,                 1.0619,                 1.7111,                 1.3735,                 1.0453,                0.84186,                 0.9184,                0.95337,                0.79778,                0.84186,                 0.9184,                0.95012,                0.72779,                0.69692,                0.69073,                 0.7897,                0.88398,              0.0099274,              0.0099274,              0.0099274
                     24,                 1.0812,                 1.7413,                  1.343,                  1.058,                0.88294,                0.88545,                0.92902,                0.75645,                0.88294,                0.88545,                0.93106,                0.66488,                0.72409,                0.77525,                0.79442,                0.88521,              0.0099241,              0.0099241,              0.0099241
                     25,                 1.0489,                 1.6961,                 1.3037,                 1.0375,                0.86928,                0.93604,                0.97591,                0.81418,                0.86928,                0.93604,                0.97418,                0.73087,                 0.7204,                0.71047,                0.72013,                0.88683,              0.0099208,              0.0099208,              0.0099208
                     26,                 1.0519,                 1.7017,                 1.2897,                  1.046,                0.83848,                0.92607,                0.95433,                0.77518,                0.83848,                0.92607,                 0.9466,                0.71565,                0.75247,                0.71668,                0.79413,                0.89184,              0.0099175,              0.0099175,              0.0099175
                     27,                 1.0467,                 1.6585,                 1.2337,                 1.0328,                0.90999,                0.95138,                0.95515,                 0.7784,                0.90999,                0.95138,                0.95273,                0.74289,                0.70515,                 0.6599,                0.64183,                0.89402,              0.0099142,              0.0099142,              0.0099142
                     28,                  1.043,                 1.6823,                 1.2505,                 1.0474,                0.84029,                0.94738,                0.97308,                0.82225,                0.84029,                0.94738,                0.97013,                0.71378,                0.68911,                 0.6911,                0.71041,                0.88898,              0.0099109,              0.0099109,              0.0099109
                     29,                 1.0429,                 1.6643,                 1.2134,                 1.0435,                0.88368,                0.94976,                0.97611,                0.78424,                0.88359,                0.94335,                0.96567,                0.73317,                0.77234,                0.87455,                0.83938,                0.90119,              0.0099076,              0.0099076,              0.0099076
                     30,                 1.0049,                 1.6093,                 1.1738,                 1.0194,                0.89867,                0.94581,                0.95938,                0.78863,                0.89105,                0.93819,                0.94409,                0.71026,                0.66879,                0.68212,                0.67474,                0.87574,              0.0099043,              0.0099043,              0.0099043
                     31,                 1.0126,                 1.6408,                 1.1985,                 1.0171,                 0.8622,                0.91501,                0.94921,                0.77807,                 0.8622,                0.91501,                 0.9382,                0.71628,                0.70432,                   0.78,                0.66237,                0.88986,               0.009901,               0.009901,               0.009901
                     32,                0.98563,                 1.6083,                 1.1712,                 1.0305,                0.90041,                0.95869,                 0.9592,                 0.8276,                0.90041,                0.95869,                 0.9525,                0.75359,                0.65763,                0.64274,                 0.6478,                0.87617,              0.0098977,              0.0098977,              0.0098977
                     33,                0.96959,                 1.6028,                 1.1076,                 1.0036,                0.89058,                0.93294,                0.95261,                0.80575,                0.89058,                0.93294,                0.95261,                0.75475,                0.68645,                0.66154,                0.66951,                0.88349,              0.0098944,              0.0098944,              0.0098944
                     34,                0.99374,                 1.6147,                 1.0951,                 1.0029,                0.86389,                0.94461,                0.95187,                0.80311,                0.85905,                0.93977,                0.94762,                0.73406,                0.65675,                0.72007,                0.65313,                0.86681,              0.0098911,              0.0098911,              0.0098911
                     35,                0.98834,                 1.6015,                 1.1044,                 1.0166,                0.87331,                0.94271,                0.95012,                0.80745,                0.86294,                0.93196,                0.94303,                0.74891,                0.65595,                  0.626,                0.65263,                 0.8698,              0.0098878,              0.0098878,              0.0098878
                     36,                0.93752,                 1.5363,                 1.0942,                0.98474,                0.90023,                0.95216,                0.95252,                0.80179,                0.89742,                0.94657,                 0.9422,                0.71066,                0.65431,                0.64606,                0.70318,                0.86173,              0.0098845,              0.0098845,              0.0098845
                     37,                  0.978,                 1.5892,                 1.0739,                 1.0064,                0.84045,                0.97625,                0.95888,                0.81136,                0.84045,                0.97625,                0.95888,                0.74272,                0.63264,                0.68514,                0.63958,                 0.8622,              0.0098812,              0.0098812,              0.0098812
                     38,                 0.9607,                 1.5678,                 1.0647,                 1.0112,                0.86887,                0.95453,                0.95495,                0.83238,                0.86887,                0.95453,                0.95495,                0.74552,                0.60128,                0.61274,                0.63544,                0.85839,              0.0098779,              0.0098779,              0.0098779
                     39,                0.95635,                 1.5537,                 1.0703,                 1.0026,                0.86164,                0.95965,                0.96977,                0.82518,                0.85618,                0.95419,                0.95997,                0.74313,                0.62594,                0.75096,                0.66218,                0.86396,              0.0098746,              0.0098746,              0.0098746
                     40,                0.95836,                 1.5185,                 1.0329,                0.98981,                0.90175,                0.94662,                0.97499,                 0.8242,                0.89123,                0.93608,                0.96789,                0.74059,                0.64376,                0.69175,                0.59033,                0.86473,              0.0098713,              0.0098713,              0.0098713
                     41,                0.94171,                 1.5393,                 1.0193,                0.99985,                0.90944,                0.95971,                0.95821,                0.82737,                0.90745,                0.95498,                0.94925,                0.75401,                0.62019,                0.63685,                0.58048,                0.85492,               0.009868,               0.009868,               0.009868
                     42,                0.93078,                 1.4993,                 1.0128,                0.98386,                0.89797,                0.95318,                0.96318,                0.82543,                0.89603,                0.94732,                0.95786,                 0.7475,                0.62191,                0.68412,                0.60723,                0.86359,              0.0098647,              0.0098647,              0.0098647
                     43,                0.92846,                 1.4901,                 1.0132,                0.99295,                0.89043,                0.96526,                0.95343,                0.82844,                0.89043,                0.96526,                0.95347,                0.74046,                0.61845,                0.65382,                0.58757,                0.86431,              0.0098614,              0.0098614,              0.0098614
                     44,                 0.9177,                 1.4503,                0.98107,                0.97583,                0.91855,                0.96089,                0.96856,                0.83623,                0.91955,                0.95325,                0.96191,                0.73607,                0.61973,                0.65609,                0.60306,                0.85921,              0.0098581,              0.0098581,              0.0098581
                     45,                0.91184,                  1.479,                 1.0205,                0.98193,                0.83163,                0.96108,                0.94732,                0.80556,                0.84085,                0.94466,                0.92824,                0.69875,                0.61249,                0.63689,                0.63572,                0.85026,              0.0098548,              0.0098548,              0.0098548
                     46,                0.90886,                 1.5002,                0.97211,                0.97646,                0.89697,                0.96324,                0.95359,                0.81061,                0.89697,                0.96324,                0.94851,                0.74178,                0.65218,                 0.6507,                0.61847,                0.85615,              0.0098515,              0.0098515,              0.0098515
                     47,                0.89087,                  1.446,                0.96642,                0.97621,                 0.8534,                0.95949,                0.94786,                0.81457,                 0.8534,                0.95949,                0.94366,                0.74331,                0.60764,                0.60489,                0.63968,                0.85932,              0.0098482,              0.0098482,              0.0098482
                     48,                0.90872,                 1.4565,                0.97069,                0.97775,                0.90388,                0.94822,                 0.9616,                0.81489,                0.90388,                0.94822,                0.96054,                0.75233,                0.64551,                0.69204,                0.57614,                0.86085,              0.0098449,              0.0098449,              0.0098449
                     49,                0.89478,                 1.4567,                0.95404,                 0.9819,                0.90896,                0.96281,                  0.953,                0.82417,                0.90518,                0.95903,                0.94526,                0.76136,                0.59914,                0.63414,                0.57047,                0.86442,              0.0098416,              0.0098416,              0.0098416
                     50,                0.90707,                 1.5194,                0.95626,                 0.9857,                0.90369,                0.94963,                0.95257,                0.83076,                0.90319,                0.94914,                0.94512,                0.73509,                0.56247,                0.66095,                0.56574,                0.85362,              0.0098383,              0.0098383,              0.0098383
                     51,                0.88181,                 1.4367,                0.95788,                0.97994,                0.90631,                 0.9291,                0.95271,                0.83951,                0.90626,                0.92352,                0.93728,                0.70374,                0.56935,                0.63733,                0.60687,                0.84872,               0.009835,               0.009835,               0.009835
                     52,                 0.8978,                 1.4596,                0.96963,                0.97337,                0.89545,                0.95572,                0.95276,                0.83408,                 0.8948,                0.94882,                0.94254,                0.74412,                0.59955,                0.63515,                0.58621,                0.85541,              0.0098317,              0.0098317,              0.0098317
                     53,                0.88957,                 1.4529,                0.92918,                0.97064,                 0.8094,                0.96212,                0.94834,                0.82561,                 0.8094,                0.96212,                 0.9455,                0.71863,                0.57085,                0.64947,                0.60837,                0.85081,              0.0098284,              0.0098284,              0.0098284
                     54,                0.86959,                 1.3901,                0.91519,                0.97108,                0.92278,                0.95159,                0.95523,                0.82234,                0.91795,                0.94145,                0.94491,                0.72591,                0.61788,                0.66258,                0.58973,                0.86013,              0.0098251,              0.0098251,              0.0098251
                     55,                0.87876,                 1.4502,                0.92348,                0.97605,                0.91458,                0.96738,                0.95255,                0.82997,                0.91142,                0.96183,                0.94481,                0.75781,                0.60344,                0.61944,                0.58715,                0.85004,              0.0098218,              0.0098218,              0.0098218
                     56,                0.85717,                 1.3402,                0.92304,                0.96469,                0.92654,                0.96825,                0.95329,                0.83876,                0.92596,                0.96491,                0.94492,                0.75097,                 0.5814,                0.60253,                0.54878,                0.85271,              0.0098185,              0.0098185,              0.0098185
                     57,                0.85152,                 1.3778,                0.88917,                 0.9561,                0.91868,                0.95785,                0.95801,                0.83309,                0.91915,                0.95316,                0.94766,                0.70805,                0.59848,                0.73814,                0.58078,                0.85836,              0.0098152,              0.0098152,              0.0098152
                     58,                0.86076,                 1.3583,                0.90734,                 0.9697,                0.90455,                0.93419,                0.96336,                0.84417,                0.90384,                0.93348,                0.95336,                0.73228,                0.55568,                0.65974,                0.55649,                0.84153,              0.0098119,              0.0098119,              0.0098119
                     59,                0.85785,                 1.4303,                0.88767,                0.96209,                0.84885,                0.96669,                0.95258,                0.82929,                0.84885,                0.96669,                0.94261,                0.72904,                0.58364,                 0.6788,                0.56626,                  0.858,              0.0098086,              0.0098086,              0.0098086
                     60,                0.84192,                 1.3557,                0.87409,                0.94686,                 0.9237,                0.95738,                0.95516,                0.83501,                0.92273,                0.95307,                0.94202,                0.75095,                0.59181,                0.66756,                  0.568,                0.85094,              0.0098053,              0.0098053,              0.0098053
                     61,                0.87984,                 1.4489,                0.88881,                0.97425,                0.86479,                0.97251,                0.95354,                0.83462,                0.86081,                0.96853,                0.94502,                0.74191,                  0.542,                0.55979,                0.57148,                0.84508,               0.009802,               0.009802,               0.009802
                     62,                0.85181,                 1.3806,                 0.8989,                0.96497,                0.90927,                0.95711,                0.96828,                0.86382,                0.90927,                0.95711,                0.96828,                0.75999,                0.57217,                 0.5983,                0.53581,                0.84596,              0.0097987,              0.0097987,              0.0097987
                     63,                0.87117,                 1.3964,                0.86858,                0.96564,                0.90179,                0.96769,                0.95119,                0.83556,                0.90179,                0.96769,                 0.9464,                0.75703,                0.55695,                0.62399,                0.54149,                0.84728,              0.0097954,              0.0097954,              0.0097954
                     64,                0.85382,                 1.3696,                0.87331,                0.96497,                0.92985,                0.96449,                0.95316,                0.84469,                 0.9275,                 0.9617,                 0.9432,                0.72981,                0.55432,                0.62081,                0.52889,                0.85022,              0.0097921,              0.0097921,              0.0097921
                     65,                0.84003,                   1.35,                 0.8798,                0.95169,                0.90509,                0.96306,                0.95708,                0.83143,                0.90509,                0.96306,                   0.95,                0.78493,                0.61032,                0.57904,                0.57021,                 0.8553,              0.0097888,              0.0097888,              0.0097888
                     66,                0.84551,                 1.3703,                0.87704,                0.96063,                0.89184,                0.94798,                0.94996,                0.82728,                0.89184,                0.94798,                0.94255,                0.74267,                0.60769,                0.61917,                0.57767,                0.85328,              0.0097855,              0.0097855,              0.0097855
                     67,                0.80607,                 1.3235,                 0.8531,                0.95388,                  0.918,                0.94459,                0.94843,                0.83103,                  0.918,                0.94459,                0.94604,                0.74588,                 0.5815,                0.60727,                0.54305,                 0.8468,              0.0097822,              0.0097822,              0.0097822
                     68,                0.81836,                 1.2994,                 0.8241,                0.95342,                0.84278,                0.98594,                0.95263,                0.82205,                0.83486,                0.97802,                0.94655,                0.72298,                0.55513,                0.76042,                0.55185,                0.85094,              0.0097789,              0.0097789,              0.0097789
                     69,                0.81564,                 1.3528,                0.81848,                0.95329,                0.92286,                0.93525,                0.95545,                0.84902,                0.92224,                0.93117,                0.94726,                0.72695,                0.51866,                0.62293,                0.53603,                0.84232,              0.0097756,              0.0097756,              0.0097756
                     70,                0.82585,                 1.3202,                0.84177,                0.95325,                 0.9164,                0.95126,                0.96859,                0.85716,                0.91365,                0.94852,                0.95878,                0.74886,                0.55357,                0.60723,                0.54964,                0.84239,              0.0097723,              0.0097723,              0.0097723
                     71,                0.80093,                 1.3171,                0.82506,                0.94247,                0.93469,                0.93526,                0.97406,                0.86646,                0.93411,                 0.9324,                0.96375,                0.77442,                0.56772,                0.59274,                0.53899,                0.84576,               0.009769,               0.009769,               0.009769
                     72,                0.83455,                 1.2971,                0.80288,                0.95153,                0.80764,                0.98322,                0.96871,                0.87417,                0.87867,                0.93163,                0.95897,                0.75144,                0.54811,                0.54754,                0.55262,                0.84285,              0.0097657,              0.0097657,              0.0097657
                     73,                0.78568,                 1.2551,                0.80506,                0.94661,                0.89498,                0.95739,                0.95303,                0.85283,                0.89324,                0.95078,                0.94329,                0.76428,                0.54397,                0.58207,                0.53767,                0.84082,              0.0097624,              0.0097624,              0.0097624
                     74,                 0.8036,                 1.2889,                0.80287,                0.93986,                0.87978,                0.94759,                0.95269,                0.84299,                0.88348,                0.93763,                0.94433,                0.75511,                0.57009,                0.57224,                0.51868,                 0.8446,              0.0097591,              0.0097591,              0.0097591
                     75,                0.79212,                 1.2882,                0.80799,                0.93924,                0.88884,                0.96541,                0.95262,                0.84494,                0.88699,                0.95991,                0.94488,                0.74051,                0.54456,                0.57288,                 0.5151,                0.84357,              0.0097558,              0.0097558,              0.0097558
                     76,                0.81896,                 1.3525,                0.82448,                0.94849,                0.91501,                0.96499,                0.95278,                0.85587,                0.91371,                0.95498,                0.94244,                0.74671,                0.52071,                 0.5434,                  0.505,                0.84602,              0.0097525,              0.0097525,              0.0097525
                     77,                0.78576,                 1.3046,                0.80611,                0.94957,                0.92023,                0.96507,                0.95286,                0.85011,                0.92082,                0.96101,                0.94488,                0.76009,                0.53392,                0.58424,                0.50575,                0.84026,              0.0097492,              0.0097492,              0.0097492
                     78,                0.79768,                  1.272,                0.80365,                0.93686,                0.91416,                0.95896,                0.95792,                0.85644,                0.91122,                0.95602,                0.94811,                0.75108,                0.52549,                0.57583,                0.51039,                0.83973,              0.0097459,              0.0097459,              0.0097459
                     79,                 0.7826,                  1.245,                0.77558,                0.93808,                0.91758,                0.95908,                0.95261,                  0.853,                 0.9174,                0.95577,                 0.9426,                0.73588,                0.50798,                0.58815,                0.51491,                0.84295,              0.0097426,              0.0097426,              0.0097426
                     80,                0.79205,                 1.3145,                0.80418,                0.94132,                0.92832,                0.96725,                0.95278,                 0.8461,                0.92617,                0.95909,                0.94277,                0.75045,                0.53324,                0.55653,                  0.507,                0.84355,              0.0097393,              0.0097393,              0.0097393
                     81,                0.77375,                 1.2563,                0.78968,                0.93126,                0.88898,                0.97075,                0.95865,                0.85418,                0.88415,                0.96592,                0.95439,                0.76695,                0.52368,                0.54055,                0.50295,                0.83668,               0.009736,               0.009736,               0.009736
                     82,                0.76007,                  1.206,                0.76135,                0.93085,                0.92269,                 0.9733,                 0.9581,                0.86095,                0.92389,                0.97234,                0.95145,                0.75086,                0.50614,                0.54862,                0.49051,                0.83638,              0.0097327,              0.0097327,              0.0097327
                     83,                0.78541,                 1.2524,                0.75584,                 0.9311,                0.90436,                 0.9616,                0.96217,                0.84964,                0.90218,                0.95832,                0.95261,                0.73594,                0.52909,                0.63029,                0.54254,                0.83703,              0.0097294,              0.0097294,              0.0097294
