                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.117,                 2.2932,                 2.8663,                 1.0654,                0.94802,                0.88503,                0.94027,                0.78105,                 0.9379,                0.87202,                0.91847,                0.65659,                0.63454,                 1.0972,                0.59305,                 0.8818,               0.003327,               0.003327,               0.003327
                      2,                  1.039,                 1.9183,                 1.0123,                 1.0127,                0.94132,                0.88659,                0.94156,                0.78427,                0.91916,                0.87217,                0.91052,                0.65427,                0.63435,                 1.0623,                0.61511,                0.87272,              0.0066582,              0.0066582,              0.0066582
                      3,                 1.0804,                 1.9558,                0.92873,                 1.0261,                0.92399,                0.88573,                0.93352,                0.73933,                0.90843,                0.85439,                0.89488,                0.61651,                0.76134,                 1.1881,                0.66396,                 0.9279,              0.0099871,              0.0099871,              0.0099871
                      4,                  1.098,                 1.9605,                0.91353,                 1.0563,                0.94209,                0.87709,                0.92036,                0.73703,                0.90243,                0.83545,                0.87351,                0.60953,                 0.7545,                 1.1956,                0.68072,                0.92118,              0.0099901,              0.0099901,              0.0099901
                      5,                 1.0442,                 1.8472,                0.81469,                 1.0432,                0.95477,                 0.9162,                0.95653,                0.77838,                0.93538,                0.89524,                0.92594,                0.63073,                0.69578,                 1.2537,                0.54137,                0.90078,              0.0099868,              0.0099868,              0.0099868
                      6,                0.99805,                 1.8027,                0.73203,                 1.0221,                0.95005,                 0.9258,                0.95957,                0.80281,                0.94381,                0.87409,                0.90675,                0.64873,                0.61695,                  1.035,                0.50401,                0.88721,              0.0099835,              0.0099835,              0.0099835
                      7,                0.94599,                 1.7132,                0.67951,                 1.0092,                0.97246,                0.93052,                 0.9686,                0.82165,                0.95147,                0.88664,                0.91771,                0.65049,                0.58433,                0.97549,                0.44326,                0.87384,              0.0099802,              0.0099802,              0.0099802
                      8,                0.92069,                 1.6748,                0.64747,                0.99958,                0.97163,                0.94814,                0.96541,                0.82208,                0.94462,                0.91739,                0.92804,                0.67552,                0.57537,                0.96345,                0.43307,                0.87177,              0.0099769,              0.0099769,              0.0099769
                      9,                0.90123,                 1.6506,                0.62082,                0.99074,                0.97701,                0.94329,                0.96534,                0.84399,                0.95329,                0.91723,                0.93055,                0.67664,                0.52702,                0.94202,                0.40001,                0.85571,              0.0099736,              0.0099736,              0.0099736
                     10,                0.88068,                 1.5937,                 0.5909,                0.98375,                0.97663,                0.93553,                0.96775,                0.84246,                0.94677,                 0.9108,                0.92915,                0.68295,                0.52411,                0.91463,                0.38717,                0.85359,              0.0099703,              0.0099703,              0.0099703
                     11,                0.86902,                 1.5962,                0.57077,                 0.9771,                0.98164,                 0.9357,                0.96549,                0.84326,                0.95607,                0.91278,                0.92914,                 0.6934,                0.51377,                0.86905,                0.39725,                0.85107,               0.009967,               0.009967,               0.009967
                     12,                0.85161,                 1.5614,                0.56084,                0.97649,                0.99009,                0.93532,                 0.9718,                0.84814,                0.95702,                0.91083,                0.92492,                0.68162,                0.50406,                0.90089,                0.37132,                0.84471,              0.0099637,              0.0099637,              0.0099637
                     13,                0.83029,                 1.5498,                 0.5354,                0.96646,                0.98268,                0.94481,                0.97256,                0.85368,                0.96571,                0.91978,                0.93738,                0.69216,                0.49696,                0.85154,                0.36086,                0.84243,              0.0099604,              0.0099604,              0.0099604
                     14,                0.83052,                 1.5236,                0.53762,                0.96277,                0.98886,                0.94291,                0.97388,                0.85483,                 0.9598,                0.91615,                 0.9335,                0.69501,                0.49633,                0.87632,                0.35693,                0.84774,              0.0099571,              0.0099571,              0.0099571
                     15,                0.81324,                 1.4995,                0.51262,                0.96051,                0.98296,                0.94186,                0.97349,                0.86348,                 0.9521,                0.90649,                0.92759,                0.69577,                0.48723,                0.93467,                0.34207,                0.84116,              0.0099538,              0.0099538,              0.0099538
                     16,                0.79231,                 1.4662,                0.50079,                0.94948,                0.96315,                0.95943,                0.97536,                0.85803,                0.96382,                0.91889,                0.94768,                0.70054,                0.49985,                0.91565,                0.34402,                0.84254,              0.0099505,              0.0099505,              0.0099505
                     17,                0.79835,                 1.5028,                0.50441,                0.95998,                0.97794,                0.94476,                0.97534,                 0.8618,                0.94864,                0.90739,                0.92493,                 0.6925,                0.47931,                 0.8494,                0.33771,                0.83892,              0.0099472,              0.0099472,              0.0099472
                     18,                0.77971,                 1.4417,                0.48612,                0.94313,                0.97945,                0.94911,                0.97687,                0.86428,                0.94446,                0.91606,                0.93291,                0.70654,                0.46816,                0.84582,                0.33303,                0.83722,              0.0099439,              0.0099439,              0.0099439
                     19,                0.76194,                 1.4381,                0.48289,                0.93921,                0.98302,                0.95532,                0.97724,                 0.8719,                0.95199,                0.90829,                0.92296,                0.69235,                 0.4595,                0.85032,                0.32052,                0.83269,              0.0099406,              0.0099406,              0.0099406
                     20,                0.76666,                 1.4138,                0.48131,                0.94053,                0.98199,                0.93982,                0.97728,                0.88191,                0.96238,                0.91906,                0.94576,                0.70939,                0.43507,                0.81556,                0.31433,                0.82422,              0.0099373,              0.0099373,              0.0099373
                     21,                 0.7568,                 1.3997,                0.46943,                0.93898,                0.98282,                0.95468,                0.97801,                0.87439,                0.95191,                0.92664,                0.94017,                0.70298,                0.44659,                0.82309,                0.31022,                0.82821,               0.009934,               0.009934,               0.009934
                     22,                0.75158,                 1.3921,                0.46045,                0.93228,                0.98236,                0.96175,                0.98269,                0.88601,                 0.9586,                0.93946,                0.95341,                0.73674,                0.44096,                0.83097,                0.29913,                0.82843,              0.0099307,              0.0099307,              0.0099307
                     23,                0.74091,                 1.3788,                0.46152,                0.92952,                0.98962,                0.95022,                0.97906,                0.89019,                0.95673,                0.92068,                0.93775,                0.71466,                0.42071,                0.77217,                 0.2962,                0.82261,              0.0099274,              0.0099274,              0.0099274
                     24,                0.73252,                  1.381,                 0.4517,                0.92678,                0.97407,                0.96224,                0.97742,                0.88411,                0.93869,                 0.9294,                0.93399,                0.71339,                0.43135,                0.80712,                0.29922,                0.82808,              0.0099241,              0.0099241,              0.0099241
                     25,                0.73029,                 1.3568,                0.44635,                0.92756,                0.97439,                 0.9636,                0.98047,                0.88829,                0.95168,                0.91408,                0.92752,                0.71517,                0.41614,                0.78439,                0.29515,                0.82114,              0.0099208,              0.0099208,              0.0099208
                     26,                0.72153,                 1.3515,                0.43865,                0.92428,                0.99021,                0.95718,                0.97889,                  0.889,                0.96148,                0.92913,                0.93578,                0.71347,                0.40908,                0.78712,                0.28771,                0.81691,              0.0099175,              0.0099175,              0.0099175
                     27,                0.71063,                 1.3276,                  0.434,                0.92159,                0.98301,                0.95653,                0.98104,                0.89003,                0.96031,                0.92249,                0.93888,                0.71739,                0.41975,                0.72888,                 0.2866,                0.82018,              0.0099142,              0.0099142,              0.0099142
                     28,                0.71225,                  1.335,                0.43003,                0.92238,                0.98146,                0.95828,                0.98038,                 0.8936,                0.95232,                0.92578,                0.94195,                0.71691,                0.41676,                0.78285,                0.28668,                0.82301,              0.0099109,              0.0099109,              0.0099109
                     29,                0.70765,                 1.3199,                0.42773,                0.92048,                0.97828,                 0.9652,                0.97973,                0.89276,                0.96044,                0.93031,                 0.9479,                0.72606,                0.40621,                 0.8251,                 0.2733,                0.81306,              0.0099076,              0.0099076,              0.0099076
                     30,                0.69658,                 1.2927,                0.42301,                0.91641,                0.98321,                0.96193,                0.98135,                0.89644,                0.96086,                0.93401,                0.94584,                0.72388,                0.40006,                0.76376,                0.26367,                0.81555,              0.0099043,              0.0099043,              0.0099043
                     31,                0.69606,                 1.3058,                0.42407,                0.91237,                0.98637,                0.95186,                0.98235,                0.89622,                0.96421,                0.92824,                0.94886,                0.71328,                0.39648,                0.78134,                0.26947,                0.81554,               0.009901,               0.009901,               0.009901
                     32,                0.69263,                 1.2876,                0.42348,                0.91366,                0.98446,                0.96679,                0.98687,                0.89809,                0.94983,                 0.9368,                0.94287,                0.72062,                0.40425,                0.74389,                0.25979,                0.81748,              0.0098977,              0.0098977,              0.0098977
                     33,                0.68429,                 1.2775,                0.41542,                 0.9133,                0.97685,                0.96783,                0.98399,                0.89044,                0.95464,                0.92641,                0.94039,                0.72405,                0.41399,                0.79422,                0.27012,                0.82112,              0.0098944,              0.0098944,              0.0098944
                     34,                0.68516,                  1.283,                0.41392,                0.91131,                 0.9824,                0.96703,                0.98272,                0.89624,                0.95541,                0.92892,                0.93732,                0.72136,                0.39636,                0.77256,                0.26152,                0.81593,              0.0098911,              0.0098911,              0.0098911
                     35,                0.68424,                 1.2573,                0.41106,                0.90997,                0.97941,                0.97107,                0.98182,                0.90036,                0.96332,                0.93412,                0.94656,                0.72721,                0.39285,                0.75857,                0.26346,                 0.8153,              0.0098878,              0.0098878,              0.0098878
                     36,                0.67734,                 1.2748,                0.41111,                0.90684,                0.98132,                 0.9639,                0.98076,                0.87021,                0.94575,                0.92092,                0.93204,                0.69572,                0.46424,                0.96447,                0.28022,                0.82996,              0.0098845,              0.0098845,              0.0098845
                     37,                0.67213,                 1.2592,                0.40476,                0.90582,                0.98558,                0.96551,                0.98604,                0.90053,                0.95518,                0.93467,                0.94271,                0.71889,                0.38789,                0.76393,                0.25686,                0.81466,              0.0098812,              0.0098812,              0.0098812
                     38,                0.66797,                  1.248,                0.40044,                0.90262,                0.97886,                0.96526,                0.98447,                0.89838,                0.96144,                0.93228,                0.95202,                0.72761,                0.40751,                0.81049,                0.26238,                 0.8183,              0.0098779,              0.0098779,              0.0098779
                     39,                0.65982,                 1.2179,                0.39391,                0.89971,                0.98098,                0.96944,                0.98518,                0.89856,                0.95288,                 0.9329,                0.94727,                0.72868,                0.40204,                0.81574,                0.26218,                0.81584,              0.0098746,              0.0098746,              0.0098746
                     40,                0.66187,                 1.2379,                0.40171,                0.90372,                0.98671,                0.96556,                0.98451,                0.90268,                0.95534,                0.93876,                0.94932,                0.72441,                0.37852,                0.74583,                0.25162,                0.81124,              0.0098713,              0.0098713,              0.0098713
