                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1693,                 2.5895,                 3.8205,                 1.1309,                0.72448,                0.76144,                0.83751,                0.68738,                0.72448,                0.76144,                0.83611,                0.56747,                 0.6775,                 1.0672,                 1.0811,                0.84784,              0.0033225,              0.0033225,              0.0033225
                      2,                 1.0809,                 2.1345,                 1.8432,                 1.0746,                0.91813,                0.85684,                0.92025,                0.75761,                 0.9095,                0.84758,                0.90287,                0.57947,                  0.704,                 1.0365,                0.75323,                0.85441,              0.0066537,              0.0066537,              0.0066537
                      3,                 1.1397,                 2.1037,                 1.5835,                 1.1041,                0.88853,                0.87414,                0.94349,                0.73747,                0.87589,                0.86646,                0.93218,                0.62281,                0.84934,                 1.2533,                0.85561,                 0.9072,              0.0099826,              0.0099826,              0.0099826
                      4,                 1.1647,                 2.1143,                 1.4524,                 1.1213,                0.90746,                0.89978,                 0.9497,                0.74938,                0.90275,                0.89454,                0.94615,                 0.6805,                0.79945,                0.98217,                 1.0355,                0.89679,              0.0099901,              0.0099901,              0.0099901
                      5,                 1.1593,                 2.0976,                 1.3427,                 1.1246,                0.93846,                0.89364,                0.96185,                0.75654,                 0.9341,                0.88996,                0.95134,                0.65644,                0.76442,                0.98418,                0.65585,                0.88923,              0.0099868,              0.0099868,              0.0099868
                      6,                 1.1209,                 2.0444,                 1.2456,                 1.1007,                0.90684,                0.96082,                0.97596,                0.80037,                  0.901,                0.95366,                0.96726,                0.64119,                0.67317,                0.90019,                0.60192,                0.86714,              0.0099835,              0.0099835,              0.0099835
                      7,                 1.0957,                  1.987,                 1.1643,                 1.0886,                0.93366,                 0.9457,                0.97151,                0.78603,                0.92366,                0.93329,                0.95807,                0.66205,                0.71047,                0.90925,                0.64927,                0.88123,              0.0099802,              0.0099802,              0.0099802
                      8,                 1.0586,                 1.9577,                 1.0907,                 1.0767,                0.95075,                0.95835,                0.97678,                0.81041,                0.94812,                0.95146,                0.96835,                0.67984,                0.65301,                0.93487,                0.51379,                0.86579,              0.0099769,              0.0099769,              0.0099769
                      9,                 1.0283,                 1.9022,                 1.0862,                 1.0631,                0.93499,                0.95305,                0.98244,                0.80965,                 0.9336,                0.94867,                0.97852,                0.66787,                 0.6608,                 0.9176,                0.54345,                0.86693,              0.0099736,              0.0099736,              0.0099736
                     10,                 1.0063,                 1.8597,                 1.0229,                 1.0559,                0.96409,                0.96806,                0.98378,                0.82804,                0.95229,                0.95351,                0.97063,                0.67085,                0.60384,                0.89364,                0.48015,                0.85512,              0.0099703,              0.0099703,              0.0099703
                     11,                0.98091,                 1.8387,                0.99304,                 1.0435,                0.96063,                0.95142,                0.97834,                 0.8451,                0.95146,                0.94152,                0.96162,                 0.6782,                0.58397,                0.89451,                0.48453,                0.84832,               0.009967,               0.009967,               0.009967
                     12,                0.96964,                 1.8024,                0.97728,                 1.0398,                0.95315,                0.95915,                0.97165,                0.82227,                0.93478,                0.93959,                0.94889,                0.66848,                0.63726,                0.83814,                 0.4773,                0.85433,              0.0099637,              0.0099637,              0.0099637
                     13,                0.94707,                  1.833,                0.94412,                 1.0263,                0.93688,                0.96276,                0.98273,                 0.8538,                0.93408,                0.96002,                0.98045,                0.68246,                0.55742,                0.78437,                0.46815,                0.84305,              0.0099604,              0.0099604,              0.0099604
                     14,                0.93146,                 1.7575,                0.94048,                 1.0276,                0.93885,                 0.9655,                0.97194,                0.82855,                0.93688,                0.96349,                0.96494,                0.70584,                0.61129,                  0.834,                0.46192,                0.85159,              0.0099571,              0.0099571,              0.0099571
                     15,                0.90537,                 1.7149,                0.91715,                 1.0105,                0.96139,                 0.9575,                0.98264,                0.84796,                0.94685,                 0.9424,                0.96278,                0.68364,                0.57524,                0.84158,                0.44322,                0.84189,              0.0099538,              0.0099538,              0.0099538
                     16,                0.91177,                 1.7288,                0.90352,                 1.0074,                0.94998,                0.97448,                0.97732,                0.83637,                0.94104,                0.96367,                0.96414,                0.69513,                0.59772,                0.81241,                0.42674,                0.84273,              0.0099505,              0.0099505,              0.0099505
                     17,                0.90594,                 1.7236,                0.89575,                 1.0067,                0.94306,                0.97157,                0.97358,                0.84261,                0.93697,                0.96523,                0.96562,                0.67914,                 0.5438,                0.77637,                0.43234,                0.83997,              0.0099472,              0.0099472,              0.0099472
                     18,                0.88205,                 1.6866,                0.85515,                 1.0017,                0.94999,                0.96693,                0.97732,                 0.8399,                0.95041,                0.94321,                0.95515,                0.67693,                0.55795,                0.80631,                0.43106,                0.83737,              0.0099439,              0.0099439,              0.0099439
                     19,                0.88115,                 1.6774,                 0.8584,                0.99825,                 0.9328,                0.96351,                0.97283,                0.84264,                0.92259,                0.95158,                0.95309,                0.68818,                 0.5557,                0.79641,                0.44017,                0.83745,              0.0099406,              0.0099406,              0.0099406
                     20,                0.87291,                 1.6779,                 0.8591,                0.99927,                0.96347,                 0.9729,                0.98178,                0.85127,                0.95203,                0.96033,                0.96478,                0.67593,                0.54691,                0.77862,                0.41968,                 0.8341,              0.0099373,              0.0099373,              0.0099373
                     21,                0.84971,                 1.6542,                0.83188,                0.99073,                0.94879,                 0.9721,                0.98588,                 0.8538,                  0.943,                0.96439,                0.97235,                0.69809,                0.54855,                0.77715,                0.42598,                0.83692,               0.009934,               0.009934,               0.009934
                     22,                0.85014,                 1.6279,                0.82334,                0.98198,                0.96247,                0.95976,                0.97845,                0.85887,                 0.9598,                0.95683,                 0.9711,                0.67355,                0.53325,                0.80167,                0.38904,                 0.8305,              0.0099307,              0.0099307,              0.0099307
                     23,                0.84973,                 1.6424,                0.80586,                0.98702,                0.92935,                0.95216,                0.97767,                0.86617,                0.92327,                0.94583,                0.96176,                0.70317,                0.52612,                0.77428,                0.38745,                0.82868,              0.0099274,              0.0099274,              0.0099274
                     24,                0.84107,                 1.6302,                0.78332,                0.98507,                0.94657,                0.97832,                0.98427,                0.86672,                0.94256,                0.97169,                0.97478,                0.69227,                0.52374,                0.76635,                0.38207,                 0.8293,              0.0099241,              0.0099241,              0.0099241
                     25,                0.82683,                 1.5857,                0.78327,                0.98219,                0.95716,                0.96216,                0.98192,                0.85823,                0.95051,                0.95529,                0.96888,                0.69041,                0.53499,                0.74444,                0.39446,                0.83369,              0.0099208,              0.0099208,              0.0099208
                     26,                0.81246,                 1.5536,                 0.7619,                0.97444,                0.95596,                0.97046,                0.97668,                0.86179,                0.95342,                0.96252,                0.96382,                0.70296,                0.52676,                0.75531,                0.39825,                0.82708,              0.0099175,              0.0099175,              0.0099175
                     27,                0.80102,                 1.5303,                0.74903,                0.97279,                0.94364,                0.97175,                 0.9859,                0.86903,                0.94364,                0.97175,                0.97974,                0.70259,                0.52154,                0.78377,                0.39226,                0.82912,              0.0099142,              0.0099142,              0.0099142
                     28,                0.82266,                 1.5544,                0.75936,                0.97225,                0.96349,                0.97187,                0.98016,                 0.8624,                0.96349,                0.97187,                 0.9747,                0.70059,                 0.5187,                0.72402,                0.37557,                0.82314,              0.0099109,              0.0099109,              0.0099109
                     29,                0.81905,                 1.5844,                0.74704,                0.97344,                0.96215,                0.97291,                 0.9742,                0.86224,                0.96215,                0.97291,                0.97043,                0.68926,                0.50687,                0.73423,                0.37328,                0.82361,              0.0099076,              0.0099076,              0.0099076
                     30,                0.78665,                 1.4772,                0.72673,                  0.962,                0.94136,                0.96652,                0.97895,                0.86899,                0.93748,                0.96249,                0.97053,                0.69524,                0.49158,                0.72231,                0.36785,                0.81859,              0.0099043,              0.0099043,              0.0099043
                     31,                  0.789,                  1.499,                0.72196,                0.96589,                0.95412,                0.97247,                 0.9821,                0.86589,                0.95532,                0.96905,                0.97902,                0.71074,                0.51934,                0.71607,                0.36907,                0.82552,               0.009901,               0.009901,               0.009901
                     32,                 0.7855,                 1.5065,                0.69937,                 0.9575,                0.94807,                0.94691,                0.98836,                0.87891,                0.94298,                0.94089,                0.97551,                0.70336,                0.47966,                0.72966,                0.35993,                0.81732,              0.0098977,              0.0098977,              0.0098977
                     33,                0.77912,                 1.5009,                0.70706,                 0.9576,                0.96656,                0.97262,                0.99187,                0.87684,                0.96598,                0.96968,                0.97945,                0.69856,                0.47648,                0.74317,                0.35281,                0.81775,              0.0098944,              0.0098944,              0.0098944
                     34,                0.77161,                 1.4748,                0.71863,                0.95763,                0.96377,                0.97505,                0.97531,                0.86025,                0.95907,                0.96599,                 0.9637,                0.69543,                0.49748,                0.70004,                0.36119,                0.82488,              0.0098911,              0.0098911,              0.0098911
                     35,                0.77059,                 1.4707,                0.67523,                0.95405,                0.96709,                0.97629,                0.98665,                0.88694,                0.96026,                0.96887,                0.97498,                0.69858,                0.47329,                0.71348,                0.34762,                0.81795,              0.0098878,              0.0098878,              0.0098878
                     36,                0.76937,                  1.437,                0.69188,                 0.9513,                0.96045,                0.98234,                0.98525,                0.87172,                0.95197,                0.97309,                0.96991,                0.69827,                0.49183,                0.71966,                0.35077,                0.82053,              0.0098845,              0.0098845,              0.0098845
                     37,                0.76181,                 1.4556,                0.68198,                0.94819,                0.96921,                0.97823,                0.98676,                0.87608,                0.96194,                0.96916,                0.96954,                0.70019,                0.49713,                0.72132,                0.34932,                0.82237,              0.0098812,              0.0098812,              0.0098812
                     38,                0.75567,                 1.4989,                0.67952,                0.94819,                0.96109,                0.97135,                0.98191,                0.87405,                0.95673,                0.96676,                0.97262,                0.71646,                0.49458,                0.71281,                0.34467,                0.81993,              0.0098779,              0.0098779,              0.0098779
                     39,                0.75357,                  1.443,                0.67685,                0.94965,                0.96811,                0.97844,                0.97886,                0.87335,                0.96168,                0.97141,                0.96939,                0.72148,                0.47375,                0.70608,                0.33674,                0.81715,              0.0098746,              0.0098746,              0.0098746
                     40,                 0.7343,                 1.3991,                0.65203,                0.94407,                0.95763,                0.97885,                0.97938,                0.87604,                0.95015,                0.96962,                0.96546,                0.69658,                0.47339,                0.72794,                0.33337,                0.81382,              0.0098713,              0.0098713,              0.0098713
                     41,                0.74452,                 1.4168,                0.64439,                0.94484,                0.96535,                0.97501,                0.97553,                0.87462,                0.96041,                0.96929,                0.96599,                 0.7037,                0.47903,                0.72956,                0.35053,                0.81415,               0.009868,               0.009868,               0.009868
                     42,                0.71582,                 1.3751,                0.63942,                0.93478,                0.96315,                0.96465,                 0.9802,                0.88095,                0.95653,                0.95768,                0.97008,                0.70093,                 0.4672,                0.73214,                0.32923,                0.81615,              0.0098647,              0.0098647,              0.0098647
                     43,                 0.7329,                 1.3772,                0.65532,                0.93758,                0.96721,                0.98171,                0.98325,                0.87229,                0.95979,                0.97319,                0.96642,                0.70936,                0.45925,                0.73137,                0.32885,                 0.8127,              0.0098614,              0.0098614,              0.0098614
                     44,                0.74226,                  1.409,                0.64136,                0.94154,                0.96489,                 0.9777,                0.98589,                0.88322,                0.96097,                0.97367,                0.98246,                0.71612,                0.47828,                0.69045,                0.33193,                0.81655,              0.0098581,              0.0098581,              0.0098581
                     45,                0.73336,                 1.3881,                 0.6412,                0.93975,                0.96619,                0.97615,                0.98148,                0.87899,                0.96143,                0.96981,                 0.9724,                0.72745,                0.46191,                0.69991,                0.33398,                0.81414,              0.0098548,              0.0098548,              0.0098548
                     46,                0.72311,                 1.3776,                0.62621,                0.92818,                0.95225,                0.98183,                  0.977,                0.87948,                0.94383,                0.97188,                0.96463,                0.70814,                0.45494,                0.69639,                0.31976,                0.81126,              0.0098515,              0.0098515,              0.0098515
                     47,                0.72101,                 1.3829,                0.63396,                0.93296,                0.96392,                0.98531,                0.98469,                0.88789,                0.95351,                0.97178,                0.96992,                0.70248,                0.45935,                0.68231,                0.32002,                0.81259,              0.0098482,              0.0098482,              0.0098482
                     48,                0.72432,                 1.3885,                0.61987,                0.94575,                0.96427,                0.97637,                0.97893,                0.88496,                0.95776,                0.96399,                 0.9657,                0.70142,                0.45552,                0.67789,                0.31945,                0.81173,              0.0098449,              0.0098449,              0.0098449
                     49,                 0.7116,                  1.352,                0.61463,                0.93218,                 0.9533,                0.97123,                0.97626,                0.87811,                0.94295,                0.96093,                 0.9666,                0.70963,                0.46027,                0.69384,                0.32246,                0.81239,              0.0098416,              0.0098416,              0.0098416
                     50,                0.71696,                 1.3516,                0.61561,                0.93297,                0.96561,                0.98001,                0.98913,                0.89225,                0.95044,                0.96403,                 0.9738,                0.70727,                0.46176,                0.69614,                0.31075,                0.81465,              0.0098383,              0.0098383,              0.0098383
                     51,                0.71494,                 1.3436,                0.61982,                 0.9333,                0.97017,                0.97564,                0.98952,                  0.895,                 0.9701,                0.97443,                0.98741,                0.71824,                0.45264,                0.69218,                0.31765,                0.81348,               0.009835,               0.009835,               0.009835
                     52,                0.70293,                  1.337,                0.60021,                0.92535,                0.96516,                0.97325,                0.98725,                0.89553,                0.95473,                0.96233,                0.97728,                0.72411,                0.46063,                0.71363,                0.30887,                0.81376,              0.0098317,              0.0098317,              0.0098317
                     53,                0.70159,                 1.3305,                0.60636,                0.92961,                0.95503,                0.97663,                0.98519,                0.88078,                0.95341,                0.96203,                0.97658,                0.71402,                0.44111,                0.69225,                0.31469,                0.81026,              0.0098284,              0.0098284,              0.0098284
                     54,                0.71464,                 1.3224,                0.60159,                0.92614,                0.97107,                0.97967,                 0.9872,                0.88782,                0.97107,                0.97967,                0.98682,                0.70719,                0.44262,                0.69923,                0.30466,                0.81018,              0.0098251,              0.0098251,              0.0098251
                     55,                 0.6901,                 1.2943,                0.59323,                0.92395,                0.96816,                 0.9803,                0.97641,                0.88168,                0.96421,                0.97627,                0.97248,                0.70447,                0.44046,                0.67481,                0.31326,                0.80902,              0.0098218,              0.0098218,              0.0098218
                     56,                0.69312,                 1.3126,                0.59034,                0.92656,                0.97091,                0.98052,                 0.9806,                0.88235,                0.96479,                 0.9734,                 0.9702,                0.70587,                0.43855,                0.69284,                0.29399,                0.81072,              0.0098185,              0.0098185,              0.0098185
                     57,                0.69847,                 1.3189,                0.58609,                0.92697,                0.97069,                0.98301,                 0.9785,                0.89508,                0.96683,                0.97568,                 0.9701,                0.71499,                0.43393,                0.66743,                0.29959,                 0.8057,              0.0098152,              0.0098152,              0.0098152
                     58,                0.68475,                 1.2987,                0.57953,                0.92268,                0.96711,                0.98288,                0.98201,                0.88754,                0.95312,                0.96555,                0.96355,                0.70709,                0.42278,                0.69009,                0.29266,                0.80575,              0.0098119,              0.0098119,              0.0098119
                     59,                0.67662,                 1.2739,                0.56989,                0.91614,                0.97303,                0.98158,                0.98467,                0.89091,                0.96078,                0.96757,                0.95975,                 0.7051,                0.44438,                0.67742,                0.30089,                0.80961,              0.0098086,              0.0098086,              0.0098086
                     60,                0.68242,                 1.2812,                0.58084,                0.92285,                0.96587,                0.98461,                0.98167,                0.88834,                0.96812,                0.97341,                 0.9743,                0.71019,                0.44284,                 0.6687,                0.30307,                0.80827,              0.0098053,              0.0098053,              0.0098053
